iter	Passed	Remaining
951	4307	217
952	4310	212
953	4312	207
954	4316	203
955	4318	198
956	4321	194
957	4324	189
958	4327	184
959	4329	180
960	4332	175
961	4335	171
962	4343	166
963	4346	162
964	4349	157
965	4352	153
966	4355	148
967	4360	144
968	4363	139
969	4366	135
970	4369	130
971	4372	125
972	4374	121
973	4378	116
974	4386	112
975	4389	107
976	4391	103
977	4394	98
978	4397	94
979	4400	89
980	4403	85
981	4406	80
982	4408	76
983	4411	71
984	4414	67
985	4417	62
986	4420	58
987	4423	53
988	4427	49
989	4431	44
990	4434	40
991	4437	35
992	4439	31
993	4443	26
994	4446	22
995	4450	17
996	4452	13
997	4457	8
998	4477	4
999	4480	0
