iter	RMSE
788	564.6619206
789	564.506986
790	564.3803636
791	564.1618265
792	564.0361998
793	563.8755011
794	563.6831555
795	563.518107
796	563.401534
797	563.2246165
798	563.0162077
799	562.7633956
800	562.5449955
801	562.3540011
802	562.2251813
803	562.0563565
804	561.8314649
805	561.6369906
806	561.4229344
807	561.3217488
808	561.1770466
809	561.0785881
810	560.8308455
811	560.6698181
812	560.4951657
813	560.3702142
814	560.2284651
815	559.9913729
816	559.7854829
817	559.6135498
818	559.45003
819	559.304862
820	559.0975624
821	558.890218
822	558.7671671
823	558.5626825
824	558.4135178
825	558.1837167
826	557.9908356
827	557.7628081
828	557.6226706
829	557.4844851
830	557.2734278
831	557.0687668
832	556.9227928
833	556.7382646
834	556.6407024
835	556.4800418
836	556.334128
837	556.102954
838	555.9063993
839	555.7482547
840	555.525268
841	555.314624
842	555.1041329
843	554.8769873
844	554.7101126
845	554.591853
846	554.4498447
847	554.3138564
848	554.0301324
849	553.878695
850	553.7483238
851	553.5387117
852	553.3279236
853	553.1297089
854	552.8849951
855	552.7642297
856	552.5792544
857	552.4001071
858	552.270263
859	552.1382425
860	552.0058822
861	551.7789591
862	551.659649
863	551.5098192
864	551.3239611
865	551.1392079
866	550.9431589
867	550.8272243
868	550.6506276
869	550.5234322
870	550.3635213
871	550.1531369
872	549.968685
873	549.8222319
874	549.6999515
875	549.4900254
876	549.3314585
877	549.1698117
878	549.1067669
879	548.8860194
880	548.6903992
881	548.5241997
882	548.425064
883	548.2407407
884	548.1012318
885	547.8919824
886	547.724685
887	547.5615697
888	547.4512591
889	547.2620944
890	546.9758855
891	546.8290724
892	546.6479024
893	546.3624381
894	546.2035866
895	546.0439753
896	545.8690695
897	545.7440617
898	545.4688511
899	545.327524
900	545.19314
901	545.0243278
902	544.7935452
903	544.5859488
904	544.422474
905	544.1935787
906	543.9651344
907	543.8170845
908	543.6970763
909	543.435712
910	543.3329438
911	543.1933055
912	543.0282785
913	542.8878631
914	542.7176552
915	542.635717
916	542.4084046
917	542.2605791
918	542.0504466
919	541.9218451
920	541.7656364
921	541.6185393
922	541.5039619
923	541.3198105
924	541.0314217
925	540.8455742
926	540.5739009
927	540.3689709
928	540.1251135
929	539.9531592
930	539.7209489
931	539.6091067
932	539.4854549
933	539.3521615
934	539.1748423
935	539.0917488
936	538.8341973
937	538.6547009
938	538.5566303
939	538.3700848
940	538.1563859
941	538.0602864
942	537.814803
943	537.7085075
944	537.55191
945	537.4465671
946	537.2787185
947	537.0735891
948	536.9711676
949	536.8215705
950	536.6250077
951	536.5334136
952	536.4166249
953	536.2063226
954	535.9981964
955	535.7082267
956	535.5522191
957	535.4126845
958	535.3237667
959	535.1395048
960	534.9883848
961	534.8928488
962	534.7828242
963	534.5483091
964	534.4169247
965	534.2386669
966	534.0540206
967	533.7931979
968	533.662712
969	533.4923307
970	533.3572616
971	533.2391304
972	533.0873774
973	532.8574865
974	532.5901633
975	532.4927744
976	532.3949304
977	532.2093325
978	532.081466
979	531.9289998
980	531.778161
981	531.6040058
982	531.4889636
983	531.3974359
984	531.2875282
985	531.1740989
986	531.0018274
987	530.8919566
988	530.749019
989	530.577413
990	530.4804705
991	530.1933725
992	530.0648978
993	529.8899551
994	529.7579153
995	529.664499
996	529.4869842
997	529.4086197
998	529.2990335
999	529.2227166
